"NFL.Fantasy.Experts","First_Name","Last_Name","Position.x","Team","Position.y","Score"
10,"Cooper","Kupp","WR","LA","Wide Receiver",37
14,"Amari","Cooper","WR","CLE","Wide Receiver",21
15,"Keenan","Allen","WR","LAC","Wide Receiver",19
23,"Mike","Williams","WR","LAC","Wide Receiver",17
31,"Mike","Evans","WR","TB","Wide Receiver",25
75,"Curtis","Samuel","WR","WAS","Wide Receiver",22
1,"Christian","McCaffrey","RB","SF","Running Back",21
7,"Saquon","Barkley","RB","NYG","Running Back",0
15,"Joe","Mixon","RB","CIN","Running Back",12
26,"Dalvin","Cook","RB","NYJ","Running Back",11
47,"Ezekiel","Elliott","RB","NE","Running Back",32
1,"Josh","Allen","QB","BUF","Quarterback",37
2,"Jalen","Hurts","QB","PHI","Quarterback",18
3,"Patrick","Mahomes","QB","KC","Quarterback",24
4,"Lamar","Jackson","QB","BAL","Quarterback",13
6,"Justin","Herbert","QB","LAC","Quarterback",39
7,"Joe","Burrow","QB","CIN","Quarterback",34
10,"Deshaun","Watson","QB","CLE","Quarterback",20
13,"Dak","Prescott","QB","DAL","Quarterback",25
14,"Geno","Smith","QB","SEA","Quarterback",24
15,"Jared","Goff","QB","DET","Quarterback",36
16,"Kirk","Cousins","QB","MIN","Quarterback",33
17,"Aaron","Rodgers","QB","NYJ","Quarterback",35
19,"Russell","Wilson","QB","DEN","Quarterback",28
21,"Matthew","Stafford","QB","LA","Quarterback",38
22,"Derek","Carr","QB","NO","Quarterback",20
23,"Jordan","Love","QB","GB","Quarterback",27
27,"Ryan","Tannehill","QB","TEN","Quarterback",34
28,"Jimmy","Garoppolo","QB","LV","Quarterback",29
32,"Baker","Mayfield","QB","TB","Quarterback",25
33,"Jacoby","Brissett","QB","WAS","Quarterback",24
37,"Sam","Darnold","QB","SF","Quarterback",28
39,"Andy","Dalton","QB","CAR","Quarterback",29
40,"Mitchell","Trubisky","QB","PIT","Quarterback",25
8,"Evan","Engram","TE","JAX","Tight End",26
9,"David","Njoku","TE","CLE","Tight End",24
19,"Gerald","Everett","TE","LAC","Tight End",24
