Team,Salary,Position.x,First_Name,Last_Name,Position.y,Score
 ARI,59000000.00,FS,Budda,Baker,Safety,14
 ARI,1150000.00,C,Pat,Elflein,Offensive Linebacker,21
 ATL,55000000.00,LT,Jake,Matthews,Offensive Tackle,32
 ATL,10500000.00,RB,Cordarrelle,Patterson,Wide Receiver,11
 BAL,260000000.00,QB,Lamar,Jackson,Quarterback,13
 BAL,98750000.00,LT,Ronnie,Stanley,Defensive Back,29
 BAL,97500000.00,CB,Marlon,Humphrey,Cornerback,20
 BAL,70000000.00,FS,Marcus,Williams,Safety,34
 BAL,2500000.00,DE,Jadeveon,Clowney,Outside Linebacker,14
Noy  BAL,1400000.00,ILB,Kyle,Van,Outside Linebacker,16
 BAL,1317500.00,QB,Josh,Johnson,Quarterback,24
 BUF,258034000.00,QB,Josh,Allen,Quarterback,37
 BUF,58300000.00,LT,Dion,Dawkins,Offensive Linebacker,12
 CAR,71246000.00,RT,Taylor,Moton,Offensive Linebacker,29
 CAR,10000000.00,QB,Andy,Dalton,Quarterback,29
 CHI,72000000.00,ILB,Tremaine,Edmunds,Middle Linebacker,0
 CHI,3250000.00,G,Dan,Feeney,Offensive Linebacker,29
 CIN,275000000.00,QB,Joe,Burrow,Quarterback,34
 CIN,21750000.00,CB,Chidobe,Awuzie,Safety,34
 CIN,11500000.00,RB,Joe,Mixon,Running Back,12
 CLE,230000000.00,QB,Deshaun,Watson,Quarterback,20
 CLE,125000000.00,DE,Myles,Garrett,Defensive End,31
 CLE,100000000.00,WR,Amari,Cooper,Wide Receiver,21
 CLE,57000000.00,DT,Dalvin,Tomlinson,Defensive Tackle,25
 CLE,54750000.00,TE,David,Njoku,Tight End,24
 CLE,48000000.00,G,Joel,Bitonio,Offensive Guard,29
 CLE,18000000.00,C,Ethan,Pocic,Offensive Linebacker,29
 DAL,160000000.00,QB,Dak,Prescott,Quarterback,25
 DEN,242588236.00,QB,Russell,Wilson,Quarterback,28
 DEN,68000000.00,LT,Garett,Bolles,Offensive Linebacker,9
 DEN,1300000.00,CB,Fabian,Moreau,Cornerback,23
